" Cushing, OK WTI Crude oil Spot Price FOB (Dollars per Barrel) ", Europe Brent Spot Price FOB (Dollars per Barrel) , U.S. Field Production of Crude Oil (Thousand Barrels) , Alaska Field Production of Crude Oil (Thousand Barrels) , U.S. Imports of Crude Oil (Thousand Barrels) , U.S. Percent of Crude Oil Stocks Held in SPR (Percent) , U.S. Percent of Total Petroleum Stocks Held in SPR (Percent) 
12.52,11.11,184864.0,36094.0,260189.0,63.3,34.8
61.72,64.81,339142.0,13390.0,174563.0,56.4,32.8
18.15,16.61,212003.0,49925.0,222624.0,64.0,34.7
17.72,16.49,206398.0,49709.0,221230.0,63.3,35.4
62.73,66.02,324467.0,15878.0,236216.0,61.0,35.8
20.39,18.39,230434.0,56381.0,189625.0,61.1,35.5
20.34,19.21,210724.0,50213.0,183635.0,63.8,35.1
81.48,83.54,358626.0,13546.0,185112.0,58.3,32.8
18.3,38.11,262398.0,61007.0,117160.0,61.0,33.4
25.72,22.76,175625.0,30241.0,280228.0,65.2,37.8
93.21,97.09,272623.0,14323.0,224851.0,67.5,38.3
19.9,19.08,233926.0,58496.0,160149.0,62.8,36.5
20.09,18.47,194393.0,45585.0,172358.0,63.4,35.9
17.72,15.23,182122.0,33719.0,282050.0,62.8,34.6
67.87,74.41,319216.0,13521.0,254623.0,61.4,35.4
57.52,63.65,380827.75,14956.0,198732.0,59.1,32.8
102.18,109.54,268025.0,16247.0,222177.0,65.4,38.9
70.23,78.89,343298.0,14144.0,227795.0,61.3,34.2
18.01,16.7,209492.0,47365.0,205858.0,63.5,34.9
76.6,77.04,168867.0,16686.0,295837.0,68.2,39.5
45.94,43.2,152444.0,26080.0,290923.0,71.1,40.8
15.1,38.11,259580.0,56146.0,150637.0,60.3,31.9
56.96,64.75,356583.0,14919.0,226251.0,59.1,34.1
25.23,23.78,201685.0,43163.0,226532.0,66.6,37.5
89.15,91.45,173831.0,18966.0,269553.0,70.0,41.1
17.16,15.93,209550.0,50714.0,222973.0,63.7,35.8
15.35,13.53,194483.0,36009.0,269552.0,61.6,34.9
78.33,76.17,167529.0,19849.0,263249.0,69.7,41.3
57.03,63.21,380827.75,14523.0,174531.0,58.7,33.1
25.52,24.08,176532.0,30567.0,279718.0,64.5,35.7
25.0,24.58,178811.0,30704.0,246722.0,65.6,36.2
97.3,116.97,168635.0,14036.0,287563.0,68.9,40.1
18.04,16.55,207148.0,48819.0,201657.0,64.2,36.0
21.1,19.84,227439.0,59027.0,169361.0,62.9,36.7
105.45,103.64,160868.0,22517.0,298712.0,70.2,42.8
74.47,74.46,169004.0,20295.0,253260.0,70.3,41.3
100.8,107.48,257225.0,16432.0,225487.0,66.2,40.4
19.86,18.76,259272.0,61563.0,159390.0,60.1,33.3
29.59,25.62,179767.0,30384.0,276911.0,64.8,36.6
21.9,20.51,197162.0,41126.0,249286.0,64.8,37.4
28.44,25.66,181508.0,31315.0,286114.0,65.4,36.8
42.87,46.52,291702.0,12642.0,239212.0,62.0,35.6
29.37,27.78,169703.0,29906.0,241236.0,66.6,38.8
17.43,16.11,199055.0,45727.0,219316.0,65.5,36.8
81.89,82.67,174547.0,19173.0,264726.0,67.7,39.8
14.46,12.7,190420.0,37099.0,268678.0,63.1,34.2
16.53,15.54,245102.0,59523.0,159667.0,60.5,34.1
16.72,15.19,202756.0,38097.0,258506.0,64.0,35.9
69.64,68.61,158079.0,17122.0,274054.0,68.8,39.7
46.63,48.48,286657.0,13102.0,245369.0,58.4,34.0
104.67,107.93,233210.0,15282.0,249788.0,67.2,39.0
15.12,13.1,198639.0,37847.0,251835.0,62.7,35.5
30.66,27.65,169772.0,29734.0,301151.0,68.1,39.0
32.13,29.81,172715.0,29623.0,300206.0,70.4,40.7
18.92,17.63,227798.0,55345.0,164957.0,62.7,36.2
89.17,96.52,170393.0,14378.0,284678.0,69.2,40.7
18.43,16.61,222215.0,54069.0,174393.0,61.2,35.6
53.96,59.71,380827.75,14718.0,193493.0,59.1,33.3
21.89,20.5,221029.0,53604.0,174347.0,62.5,34.2
54.19,53.1,173626.0,28537.0,317497.0,68.3,41.4
41.12,39.95,158183.0,21765.0,291995.0,69.5,40.8
17.92,15.86,172808.0,29021.0,266645.0,63.4,35.0
46.84,44.51,168831.0,28462.0,309901.0,70.4,41.3
20.19,18.17,219610.0,52700.0,190019.0,62.1,34.8
33.51,34.9,216715.0,51046.0,169907.0,63.2,34.7
43.15,39.6,170815.0,29199.0,313120.0,70.3,41.1
15.03,14.29,211320.0,51398.0,184295.0,63.5,36.2
71.38,73.16,340693.0,13200.0,198207.0,58.1,32.7
109.55,113.34,360503.0,13865.0,191050.0,55.8,30.9
20.23,18.92,218775.0,52233.0,183798.0,62.0,35.9
87.86,109.49,220282.0,17248.0,235719.0,67.3,39.2
47.02,49.99,346223.0,14352.0,177092.0,56.8,32.2
108.5,117.25,362725.0,13635.0,198883.0,57.7,32.9
68.06,72.53,353154.0,13259.0,247656.0,61.8,34.9
61.63,60.21,140894.0,22979.0,279530.0,66.7,39.8
